Store,Product_Category,Month,Quantity,Original_Price,Discount_%,Final_Price,Revenue,Customer_Rating
Pune,Furniture,May,15,3686.77,20,2949.42,44241.24,4.0
Delhi,Groceries,March,11,4344.26,15,3692.62,40618.86,2.9
Bangalore,Sports,May,2,3637.79,5,3455.9,6911.81,3.0
Chennai,Electronics,April,22,134.62,0,134.62,2961.75,3.2
Bangalore,Clothing,April,16,1240.58,10,1116.52,17864.35,3.5
Jaipur,Electronics,March,37,3076.97,20,2461.58,91078.31,3.6
Delhi,Furniture,January,14,4061.15,0,4061.15,56856.06,2.5
Delhi,Furniture,April,47,3447.99,15,2930.79,137747.25,3.7
Pune,Groceries,June,17,1368.02,15,1162.82,19767.92,3.3
Hyderabad,Sports,February,4,1005.79,5,955.5,3821.99,4.4
Delhi,Clothing,June,36,3029.71,15,2575.25,92709.12,2.6
Kolkata,Toys,May,18,2744.49,5,2607.27,46930.8,4.9
Jaipur,Furniture,May,41,1551.74,20,1241.39,50897.08,2.7
Pune,Electronics,January,44,1538.09,10,1384.28,60908.45,3.0
Kolkata,Groceries,March,33,3069.2,5,2915.74,96219.54,3.4
Mumbai,Furniture,January,8,2302.31,0,2302.31,18418.47,2.7
Pune,Sports,May,35,2997.36,10,2697.62,94416.81,3.9
Bangalore,Toys,June,3,3827.85,5,3636.45,10909.36,3.1
Hyderabad,Groceries,January,15,2194.95,5,2085.2,31278.05,3.6
Bangalore,Electronics,April,32,3508.03,20,2806.42,89805.54,3.1
Chennai,Groceries,May,36,4719.98,10,4247.98,152927.43,4.2
Jaipur,Clothing,February,45,1548.61,20,1238.88,55749.78,4.7
Jaipur,Furniture,April,20,4473.54,10,4026.19,80523.7,3.3
Pune,Furniture,January,39,4543.46,0,4543.46,177194.92,3.1
Hyderabad,Electronics,April,13,4317.58,10,3885.82,50515.68,3.5
Chennai,Electronics,March,42,1754.31,10,1578.88,66313.08,3.3
Kolkata,Electronics,April,49,417.97,5,397.07,19456.6,4.9
Hyderabad,Clothing,March,49,825.63,0,825.63,40455.67,3.2
Delhi,Clothing,April,23,1465.37,0,1465.37,33703.46,4.1
Hyderabad,Clothing,May,44,2294.14,15,1950.02,85800.74,2.7
Kolkata,Groceries,January,38,1902.14,15,1616.82,61439.04,5.0
Hyderabad,Groceries,January,9,1671.82,20,1337.46,12037.12,4.6
Jaipur,Groceries,April,19,3584.63,10,3226.17,61297.22,3.4
Pune,Furniture,January,33,2048.1,5,1945.7,64208.03,4.6
Bangalore,Furniture,January,25,1124.45,5,1068.23,26705.71,3.1
Jaipur,Clothing,January,49,1285.08,15,1092.31,53523.42,3.9
Kolkata,Groceries,January,41,1811.13,10,1630.01,66830.58,4.6
Hyderabad,Electronics,April,11,4684.61,15,3981.92,43801.12,4.7
Jaipur,Sports,March,48,597.21,10,537.49,25799.5,4.9
Delhi,Sports,February,2,3490.29,20,2792.23,5584.46,3.1
Mumbai,Furniture,January,14,1694.46,15,1440.29,20164.06,3.4
Kolkata,Groceries,January,33,2758.45,10,2482.6,81925.88,3.4
Pune,Sports,June,30,4867.75,20,3894.2,116826.04,3.7
Kolkata,Groceries,March,34,1815.38,0,1815.38,61723.06,3.9
Kolkata,Electronics,May,48,1475.78,10,1328.21,63753.89,4.4
Kolkata,Electronics,April,28,2402.73,20,1922.18,53821.11,4.7
Jaipur,Electronics,May,24,1720.68,20,1376.54,33036.99,3.9
Jaipur,Electronics,April,21,1035.46,0,1035.46,21744.75,3.3
Kolkata,Clothing,January,42,4687.16,5,4452.8,187017.62,4.8
Hyderabad,Clothing,June,23,786.41,10,707.77,16278.72,3.2
Delhi,Electronics,January,9,3542.17,20,2833.74,25503.64,3.2
Delhi,Groceries,February,25,3096.42,15,2631.95,65798.87,3.8
Mumbai,Furniture,May,20,3284.82,15,2792.1,55842.0,4.7
Pune,Furniture,February,2,2248.52,10,2023.67,4047.34,3.7
Pune,Sports,May,22,2995.08,0,2995.08,65891.83,2.6
Hyderabad,Sports,March,37,2658.99,20,2127.19,78706.16,3.2
Jaipur,Toys,April,6,353.24,15,300.25,1801.53,3.5
Bangalore,Furniture,May,42,1682.49,0,1682.49,70664.44,3.5
Bangalore,Furniture,February,26,224.22,20,179.37,4663.75,2.7
Pune,Electronics,April,1,949.14,0,949.14,949.14,3.6
Kolkata,Sports,June,48,996.04,20,796.83,38248.07,3.2
Kolkata,Toys,May,22,3677.19,10,3309.47,72808.41,3.1
